step,delta_norm,grad_norm_backbone,grad_norm_head
1,0.0065,18.7950,7.9841
2,0.0064,22.1068,inf
3,0.0063,30.2487,24.7134
4,0.0060,20.4583,16.3111
5,0.0061,21.5366,18.0077
6,0.0062,20.7287,14.8962
7,0.0061,21.4471,15.3708
8,0.0062,18.7777,8.8635
9,0.0065,19.8051,8.2299
10,0.0064,18.5101,13.0945
11,0.0064,21.4427,13.1332
12,0.0062,20.3168,10.3100
13,0.0062,18.0649,7.5767
14,0.0064,21.0653,10.4578
15,0.0063,20.4059,8.8095
16,0.0061,19.2617,9.1213
17,0.0063,22.9951,11.6642
18,0.0063,19.7051,14.7009
19,0.0063,21.5831,16.6671
20,0.0062,19.3359,8.6644
21,0.0064,25.6763,14.2017
22,0.0062,25.9468,20.5592
23,0.0063,13.7495,9.1926
24,0.0062,16.7106,9.5916
25,0.0062,25.4156,20.6142
26,0.0062,17.2310,13.0741
27,0.0065,22.7038,14.3192
28,0.0061,21.0117,12.5381
29,0.0062,18.9341,9.0931
30,0.0063,29.8500,19.2629
31,0.0063,23.9518,17.6884
32,0.0064,22.0620,17.2309
33,0.0063,18.2061,13.3906
34,0.0063,19.2187,12.2372
35,0.0064,16.9423,13.1480
36,0.0064,19.6112,14.4669
37,0.0065,22.5803,11.7359
38,0.0067,30.9689,17.0191
39,0.0066,17.3620,7.9792
40,0.0065,14.6885,8.6070
41,0.0065,21.8942,15.8769
42,0.0066,16.0139,10.1903
43,0.0065,21.3090,12.7680
44,0.0067,22.7418,14.6518
45,0.0067,18.9236,9.9914
46,0.0065,13.2229,8.4802
47,0.0064,21.4794,13.4700
48,0.0064,28.0265,14.4135
49,0.0063,19.6857,12.6711
50,0.0063,22.1377,12.7092
51,0.0065,23.0813,13.1956
52,0.0064,16.3150,10.4104
53,0.0064,16.0872,12.0790
54,0.0065,22.9131,14.7326
55,0.0065,17.5807,9.6129
56,0.0064,17.4136,10.5898
57,0.0066,20.8942,7.5273
58,0.0065,20.0438,10.5246
59,0.0065,20.6250,10.6303
60,0.0065,20.5715,11.6815
61,0.0065,24.2786,14.1084
62,0.0066,19.6755,13.0704
63,0.0067,51.9917,19.3316
64,0.0063,25.0374,11.2453
65,0.0063,23.6515,13.8208
66,0.0065,18.1875,10.3014
67,0.0065,23.9769,13.8094
68,0.0065,17.1912,7.6519
69,0.0065,21.5747,10.4715
70,0.0066,20.2475,9.5011
71,0.0065,21.3116,11.3184
72,0.0065,16.3810,8.8113
73,0.0066,23.4187,14.6975
74,0.0068,21.7852,9.7029
75,0.0066,15.9775,7.9457
76,0.0065,19.6877,9.3424
77,0.0066,22.0978,8.5196
78,0.0065,19.6155,11.6089
79,0.0067,27.7308,8.6500
80,0.0066,19.1108,6.5550
